Date;Open;High;Low;Close;Adj Close;Volume
17.11.2015;4991709961;5023450195;4975740234;4986020020;4986020020;1861710000
18.11.2015;5004600098;5078799805;5001669922;5075200195;5075200195;2017390000
19.11.2015;5078669922;5092459961;5067270020;5073640137;5073640137;1794110000
20.11.2015;5096959961;5112459961;5094319824;5104919922;5104919922;1766630000
23.11.2015;5106720215;5128080078;5084850098;5102479980;5102479980;1668280000
24.11.2015;5070660156;5110750000;5050140137;5102810059;5102810059;1956920000
25.11.2015;5106870117;5124089844;5101180176;5116140137;5116140137;1539300000
27.11.2015;5121930176;5134350098;5108509766;5127520020;5127520020;781730000
30.11.2015;5139580078;5141359863;5098700195;5108669922;5108669922;2244550000
1.12.2015;5129640137;5156310059;5120169922;5156310059;5156310059;2035570000
2.12.2015;5158819824;5176770020;5117149902;5123220215;5123220215;2060340000
3.12.2015;5143160156;5144600098;5011720215;5037529785;5037529785;2088100000
4.12.2015;5050930176;5147000000;5043490234;5142270020;5142270020;1897490000
7.12.2015;5139459961;5139779785;5082229980;5101810059;5101810059;1952690000
8.12.2015;5050520020;5111729980;5045729980;5098240234;5098240234;1871450000
9.12.2015;5077209961;5106370117;5000120117;5022870117;5022870117;2003450000
10.12.2015;5026299805;5075649902;5019310059;5045169922;5045169922;1746520000
11.12.2015;4979770020;4996189941;4928669922;4933470215;4933470215;2084950000
14.12.2015;4932609863;4953600098;4871589844;4952229980;4952229980;2216060000
15.12.2015;4991209961;5026540039;4986990234;4995359863;4995359863;2054710000
16.12.2015;5033479980;5078990234;4992629883;5071129883;5071129883;2036610000
17.12.2015;5087169922;5088580078;5002549805;5002549805;5002549805;1897220000
18.12.2015;4982580078;4996490234;4921330078;4923080078;4923080078;3765210000
21.12.2015;4957529785;4968919922;4928930176;4968919922;4968919922;1673400000
22.12.2015;4988680176;5007770020;4964080078;5001109863;5001109863;1556670000
23.12.2015;5025549805;5046089844;5020439941;5045930176;5045930176;1591490000
24.12.2015;5046189941;5063279785;5043649902;5048490234;5048490234;706880000
28.12.2015;5032290039;5041270020;4999069824;5040990234;5040990234;1310650000
29.12.2015;5066520020;5116990234;5065890137;5107939941;5107939941;1383470000
30.12.2015;5101180176;5102350098;5065680176;5065850098;5065850098;1247530000
31.12.2015;5047040039;5058060059;5007009766;5007410156;5007410156;1437480000
4.01.2016;4897649902;4903089844;4846979980;4903089844;4903089844;2218420000
5.01.2016;4917839844;4926729980;4872740234;4891430176;4891430176;1927380000
6.01.2016;4813759766;4866040039;4804689941;4835759766;4835759766;2168620000
7.01.2016;4736399902;4788020020;4688169922;4689430176;4689430176;2552590000
8.01.2016;4722020020;4742569824;4637850098;4643629883;4643629883;2288750000
11.01.2016;4673439941;4683020020;4573779785;4637990234;4637990234;2391110000
12.01.2016;4681540039;4714799805;4618029785;4685919922;4685919922;2147470000
13.01.2016;4706020020;4713979980;4517560059;4526060059;4526060059;2533200000
14.01.2016;4545370117;4650549805;4470589844;4615000000;4615000000;2565560000
15.01.2016;4464370117;4520450195;4419410156;4488419922;4488419922;2818630000
19.01.2016;4548049805;4550569824;4430770020;4476950195;4476950195;2394550000
20.01.2016;4405220215;4514919922;4313390137;4471689941;4471689941;3204130000
21.01.2016;4480700195;4537149902;4432020020;4472060059;4472060059;2447750000
22.01.2016;4557390137;4591180176;4540270020;4591180176;4591180176;2153340000
25.01.2016;4574589844;4590439941;4514779785;4518490234;4518490234;2028880000
26.01.2016;4537040039;4583209961;4503529785;4567669922;4567669922;1981180000
27.01.2016;4548870117;4568850098;4450830078;4468169922;4468169922;2115710000
28.01.2016;4533810059;4533810059;4447500000;4506680176;4506680176;2322310000
29.01.2016;4512089844;4613950195;4511299805;4613950195;4613950195;2617550000
1.02.2016;4587589844;4636930176;4565370117;4620370117;4620370117;1983340000
2.02.2016;4588689941;4589899902;4503120117;4516950195;4516950195;2185180000
3.02.2016;4543819824;4547319824;4424470215;4504240234;4504240234;2466190000
4.02.2016;4492479980;4545520020;4463990234;4509560059;4509560059;2200930000
5.02.2016;4491479980;4493189941;4350370117;4363140137;4363140137;2489280000
8.02.2016;4288020020;4301529785;4212810059;4283750000;4283750000;2702070000
9.02.2016;4224870117;4329609863;4222479980;4268759766;4268759766;2465790000
10.02.2016;4318279785;4369620117;4280729980;4283589844;4283589844;2448380000
11.02.2016;4218810059;4293220215;4209759766;4266839844;4266839844;2812330000
12.02.2016;4307290039;4340129883;4274149902;4337509766;4337509766;1983190000
16.02.2016;4397950195;4435959961;4376520020;4435959961;4435959961;2117920000
17.02.2016;4471660156;4540779785;4463509766;4534060059;4534060059;2296440000
18.02.2016;4548100098;4548470215;4482770020;4487540039;4487540039;1955870000
19.02.2016;4464669922;4513149902;4455100098;4504430176;4504430176;1903770000
